dataset,entropy_type,size_kb,algorithm,run_id,compress_ms,decompress_ms,input_bytes,compressed_bytes,compression_ratio
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,3,2.219600,0.687200,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,4,1.557400,0.690600,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,5,1.450300,0.708600,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,6,1.805500,0.686300,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,7,1.305900,0.690400,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,8,1.470300,1.311800,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,9,1.793100,1.141000,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,10,1.250500,0.681200,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,11,2.072200,1.057100,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,12,1.518200,0.674800,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,13,1.800900,1.155600,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,14,1.842100,1.080700,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,15,1.734100,1.130700,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,16,1.123500,0.748900,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,17,1.081100,0.707500,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,18,1.056300,0.715000,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,19,1.057200,0.697200,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,20,1.600200,0.689800,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,21,1.739800,1.091200,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,22,0.990800,0.682400,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,23,2.287700,1.007800,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,24,1.509000,0.702200,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,25,1.551800,0.684500,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,26,1.501800,0.720600,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,27,1.871200,1.093900,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,28,1.600600,1.119900,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,29,1.981100,1.093000,5120,16728,0.306074
DS_HIGH_ENTROPY_5KB.json,HIGH_ENTROPY,5,LZW,30,1.903100,1.333000,5120,16728,0.306074
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,1,0.559900,0.324500,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,2,0.922200,0.382500,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,3,0.955800,0.537300,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,4,0.567500,0.407700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,5,0.850200,1.077900,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,6,0.841300,0.377900,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,7,0.537200,0.353200,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,8,0.939700,0.418700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,9,0.528600,0.327700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,10,0.529300,0.567600,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,11,0.626000,0.385200,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,12,0.794000,0.329800,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,13,0.630400,0.330400,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,14,0.533200,0.330700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,15,0.520900,0.326700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,16,0.643400,0.386700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,17,0.569800,0.332200,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,18,0.751600,0.656500,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,19,0.688100,0.433500,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,20,0.915000,0.372500,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,21,0.567000,0.337200,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,22,0.700300,0.575300,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,23,0.541600,0.326400,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,24,0.709900,0.438800,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,25,0.755300,0.478400,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,26,0.523600,0.328700,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,27,0.578900,0.328200,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,28,0.560500,0.584100,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,29,0.900000,0.366900,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,Huffman,30,0.524600,0.327100,10240,9355,1.094602
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,1,1.702300,0.601100,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,2,1.877600,0.494300,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,3,2.393900,0.496400,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,4,2.627900,0.723600,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,5,2.690000,0.705600,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,6,2.618100,0.653000,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,7,2.535100,0.712100,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,8,1.880100,0.509700,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,9,2.072400,0.496800,10240,31352,0.326614
DS_HIGH_ENTROPY_10KB.json,HIGH_ENTROPY,10,LZW,10,2.928700,0.719600,10240,31352,0.326614
